Cell ID ,Area,Perimeter,Length,Width,Eccentricity,Irregularity,Cell Cycle Phase
1,182,57,16,13,0.582961191,4.225121105,1
2,211,64,16.55294536,15.23154621,0.391515864,4.405941701,1
3,237,67,18.02775638,14.86606875,0.565685425,4.352117676,1
4,227,66,17,16,0.33791545,4.380573857,1
5,204,60,15,15,0,4.200840252,1
6,217,66,17.20465053,15,0.489760007,4.48037194,1
7,239,66,18.02775638,16.15549442,0.443760157,4.269185101,1
8,239,66,17.69180601,15.55634919,0.476274144,4.269185101,1
9,263,69,20.61552813,16.40121947,0.605853797,4.25472227,2
10,263,72,18.02775638,17.08800749,0.318651003,4.439710195,1
11,258,69,18,16,0.458122847,4.295752364,1
12,256,67,18,16,0.458122847,4.1875,1
13,283,72,21.21320344,16.97056275,0.6,4.279955748,1
15,266,70,19.41648784,16.2788206,0.5450525,4.291975376,1
16,274,69,19.10497317,17.02938637,0.453298414,4.168442444,2
17,228,68,19.41648784,13.60147051,0.71364124,4.503410014,1
18,290,74,19,18,0.320145396,4.345429624,2
19,293,75,20,17,0.526782688,4.381546784,2
20,293,72,19,17,0.446593757,4.206284912,1
21,289,73,19.41648784,18.24828759,0.341629734,4.294117647,1
22,290,72,18,18,0,4.227985581,1
23,304,76,20.51828453,17.69180601,0.506489947,4.358898944,2
24,339,81,22.36067977,18.24828759,0.577927331,4.399316117,3
25,297,75,19.6977156,17.88854382,0.418637949,4.351941399,2
26,280,72,19,18,0.320145396,4.302822994,1
27,306,81,20,19,0.3122499,4.630461799,1
28,306,77,20,18,0.435889894,4.401797019,2
29,376,86,24.73863375,18.43908891,0.666666667,4.435111359,3
30,286,72,20.39607805,16.2788206,0.602478854,4.257449251,1
31,357,86,22.82542442,18.02775638,0.613351136,4.551602667,3
32,289,73,18,18,0,4.294117647,2
33,291,75,19.79898987,16.97056275,0.515078754,4.396577863,1
34,291,73,19,18,0.320145396,4.279335787,2
35,299,73,20,17,0.526782688,4.221699003,1
36,291,75,20.22374842,17.2626765,0.52095455,4.396577863,1
37,314,74,19,18,0.320145396,4.176061595,1
39,320,76,19,18,0.320145396,4.248529157,2
40,298,75,21,17,0.587087048,4.344633348,3
41,334,78,21,18,0.515078754,4.26797011,2
43,319,77,20.39607805,18.24828759,0.446675756,4.311172334,1
44,316,78,20.51828453,17.69180601,0.506489947,4.387842814,1
45,312,80,20.61552813,18.43908891,0.447213595,4.529108137,1
46,338,78,20,19,0.3122499,4.242640687,1
47,334,79,20,19,0.3122499,4.322687676,1
48,325,76,21,17,0.587087048,4.215721491,2
49,406,88,25.45584412,19.79898987,0.628539361,4.367366669,3
50,344,79,22,18,0.574959575,4.259394542,2
51,349,80,22,18,0.574959575,4.282301821,3
52,364,82,22,19,0.504115296,4.297967831,2
53,256,66,19,14,0.676064873,4.125,2
54,322,80,21.26029163,18.43908891,0.497782694,4.458225701,2
55,377,82,23,18,0.622513959,4.223214862,3
56,346,82,22,19,0.504115296,4.408347311,1
57,379,86,22.36067977,20.39607805,0.409878031,4.417523274,2
58,315,79,20.51828453,17.69180601,0.506489947,4.451145742,1
59,376,82,21,20,0.304910678,4.22882711,1
60,442,93,24.69817807,21.1896201,0.513745488,4.423558896,3
61,368,84,23.60084744,19.41648784,0.568471446,4.378802695,3
62,314,86,21.9317122,16.2788206,0.670122712,4.853260773,3
63,435,98,30.6757233,19.31320792,0.776925465,4.698740355,3
64,419,89,24.04163056,21.84032967,0.418019718,4.347934522,3
65,421,92,24.16609195,20.61552813,0.521785659,4.483805645,3
67,377,82,23,18,0.622513959,4.223214862,3
68,369,82,23,18,0.622513959,4.268749492,2
71,373,84,23,19,0.563542669,4.349355134,3
72,421,86,24,19,0.610953262,4.191383538,3
73,457,93,25.8069758,21.63330765,0.545249757,4.350356508,1
5,432,107,25.49509757,21.02379604,0.565685425,6.831978185,3
7,189,60,15.26433752,13.89244399,0.414335395,4.364357805,3
8,194,61,17,14,0.567273574,4.379544768,1
9,232,68,17.69180601,16.2788206,0.3916052,4.464418717,1
10,244,70,19,16,0.539313198,4.481290798,1
11,234,68,17.20465053,15.8113883,0.394214923,4.445299063,1
12,252,71,19.84943324,16.40121947,0.563257386,4.472579597,1
13,236,66,17,16,0.33791545,4.296234062,1
14,228,64,17,15,0.470588235,4.238503543,1
15,204,61,16.2788206,13.15294644,0.589211177,4.270854256,1
16,205,60,16,14,0.484122918,4.190581775,2
17,248,68,18,17,0.328671099,4.318004318,2
18,233,67,16,16,0,4.38931594,1
19,252,68,18,16,0.458122847,4.283597361,1
20,257,71,17.72004515,16.76305461,0.324184425,4.428858317,1
21,248,71,18.38477631,16.97056275,0.384615385,4.508504509,1
22,273,72,18.38477631,16.97056275,0.384615385,4.357638235,1
23,271,71,19.23538406,17.2626765,0.441128773,4.312942849,3
24,279,72,18,18,0,4.310527249,1
25,281,72,19.31320792,17.08800749,0.466002336,4.295159901,2
26,259,70,19.31320792,16.15549442,0.54796724,4.349588362,1
27,248,67,18.11077028,16.1245155,0.455320846,4.254504255,2
28,227,65,18.24828759,15.13274595,0.558849096,4.314201525,2
29,262,72,19.23538406,17.49285568,0.415900196,4.448174855,1
30,288,76,20,18,0.435889894,4.478342948,3
31,298,74,19,18,0.320145396,4.286704903,2
32,272,70,18,17,0.328671099,4.244373438,2
33,273,71,19.10497317,16.97056275,0.459302628,4.297115482,2
34,261,70,18,17,0.328671099,4.332891224,1
35,268,72,19.6468827,16.4924225,0.543448974,4.398099997,1
36,275,71,20.51828453,16.2788206,0.608725158,4.281461093,3
37,277,70,19,16,0.539313198,4.205892377,1
38,272,73,18.38477631,17.69180601,0.271964147,4.426275157,1
39,301,75,20.24845673,18.02775638,0.455320846,4.322928133,3
40,296,74,20.1246118,17,0.535181981,4.301162634,3
41,277,71,19.41648784,17.20465053,0.463523582,4.265976554,1
42,282,76,19.6977156,17.4642492,0.46251219,4.52573414,1
43,281,73,18.68154169,17.72004515,0.31668049,4.3548149,2
44,287,72,19.6468827,17.72004515,0.43188945,4.25002562,1
45,311,76,20,18,0.435889894,4.309564626,2
46,319,79,20,19,0.3122499,4.423150837,3
47,304,75,18.97366596,18.97366596,0,4.30154501,1
48,339,80,22.36067977,19.23538406,0.509901951,4.345003573,2
49,317,76,21,17,0.587087048,4.268585268,3
50,302,74,19,18,0.320145396,4.258221499,1
51,317,78,20.39607805,18.24828759,0.446675756,4.380916459,2
52,324,77,20,18,0.435889894,4.277777778,3
53,301,76,20.1246118,17.88854382,0.458122847,4.380567175,2
54,347,81,20,19,0.3122499,4.348307829,2
55,289,78,19.72308292,16.64331698,0.536579666,4.588235294,1
56,311,76,21.02379604,18.78829423,0.448728722,4.309564626,1
57,372,89,24.59674775,18.78829423,0.645390522,4.614435042,3
58,340,72,21,18,0.515078754,3.904748241,2
59,314,80,21.09502311,17,0.592082594,4.514661184,1
60,336,81,21.63330765,18.60107524,0.510571994,4.418912277,1
61,327,80,21.09502311,18.35755975,0.492642496,4.424010109,2
62,377,85,23.34523506,21.21320344,0.417506798,4.377722722,3
63,324,78,20,19,0.3122499,4.333333333,2
64,314,76,20,18,0.435889894,4.288928125,1
65,331,79,20.51828453,18.38477631,0.444015364,4.342232708,1
66,322,79,20.80865205,18.60107524,0.448245231,4.402497879,1
67,358,85,22.36067977,19.23538406,0.509901951,4.492389592,3
68,361,84,24,19,0.610953262,4.421052632,3
69,371,86,23,20,0.493818117,4.464897532,3
70,405,87,24.75883681,20.51828453,0.559654986,4.323064756,3
71,432,92,25.70992026,20.61552813,0.597523887,4.426352064,3
72,366,83,23.34523506,18.38477631,0.616292555,4.3384795,3
73,374,82,21,20,0.304910678,4.240119058,2
74,402,91,24.35159132,21.1896201,0.492780937,4.538667479,3
75,369,85,22.8035085,20.61552813,0.427425207,4.424923254,2
77,490,102,26.47640459,23.34523506,0.471740638,4.607890305,3
78,400,86,23.76972865,20.61552813,0.497782694,4.3,2
79,386,88,23.40939982,20.24845673,0.5018215,4.479082067,3
81,432,93,26.30589288,20.22374842,0.639499443,4.474464586,3
82,444,94,25.96150997,21.84032967,0.540633764,4.46104258,3
83,461,96,25.63201124,21.1896201,0.56266381,4.471165755,3
84,409,88,23,21,0.40786224,4.351319953,3
85,464,94,25,22,0.474973683,4.363840447,3
86,464,92,25,21,0.542586399,4.270992778,3
87,409,89,24.41311123,20.80865205,0.52296265,4.40076677,3
88,452,92,25.55386468,21.9544984,0.511730691,4.327315995,3
89,455,93,25.63201124,22.47220505,0.480993391,4.359907248,3
90,461,94,25,22,0.474973683,4.378016469,3
91,483,97,26.62705391,23.02172887,0.502462203,4.413652825,3
92,482,95,27,21,0.628539361,4.327131427,3
13,209,71,18.60107524,15,0.591363664,4.911172693,3
16,224,79,19.41648784,15.8113883,0.580405054,5.278409528,3
18,263,87,24.16609195,15.65247584,0.761892021,5.364649819,3
20,204,76,25.45584412,12.04159458,0.881041752,5.321064319,3
22,229,81,20.61552813,15.5241747,0.657982657,5.352630664,3
23,150,52,13,12,0.384615385,4.245782221,3
24,243,90,26.92582404,13.60147051,0.863033943,5.773502692,1
30,188,58,17.2626765,12.16552506,0.709475655,4.230084753,1
33,252,84,20.80865205,15,0.693086946,5.291502622,3
34,284,90,28.01785145,13.03840481,0.885121173,6.052586457,3
36,152,54,13.60147051,13,0.294085849,4.379978371,1
37,157,56,15.5241747,12.36931688,0.604272478,4.469286553,1
38,171,61,16.2788206,13.15294644,0.589211177,4.664786589,1
39,155,54,15,12,0.6,4.337384376,1
40,186,61,16,14,0.484122918,4.472737008,1
43,317,98,30.87069808,13.41640786,0.900623545,6.234381115,1
45,164,54,14,13,0.371153744,4.216691571,3
47,246,79,18.60107524,16.64331698,0.446566865,5.036856033,3
48,191,61,15.62049935,13.45362405,0.508130614,4.413805092,3
49,188,62,17,14,0.567273574,4.521814736,3
51,161,56,15,13,0.498887652,4.413418275,3
52,164,52,13,13,0,4.060517809,1
53,176,58,14.76482306,13.89244399,0.338642731,4.371914496,1
55,175,55,15,13,0.498887652,4.157609203,2
56,159,55,13.92838828,13,0.358979079,4.361783721,1
57,171,56,14,13,0.371153744,4.282427032,2
58,172,56,16.1245155,12.52996409,0.629407536,4.269959969,2
59,157,53,13.92838828,13,0.358979079,4.229860488,3
60,168,59,16.15549442,13,0.593709038,4.551948824,1
61,170,56,15.55634919,12.72792206,0.574959575,4.295003938,1
62,155,52,14.14213562,12.72792206,0.435889894,4.17674051,1
63,164,52,13,13,0,4.060517809,1
64,170,56,15.8113883,13.60147051,0.509901951,4.295003938,1
66,317,98,23.43074903,19.84943324,0.531348767,5.504228372,3
68,216,64,19,13,0.729284551,4.354648432,1
69,251,77,22,15,0.731521679,4.860196904,3
71,162,52,13,13,0,4.085505847,1
72,179,58,15.55634919,14.14213562,0.41659779,4.335123538,1
73,171,55,15,13,0.498887652,4.205955121,3
74,166,54,14,13,0.371153744,4.191212839,3
75,210,63,18.24828759,15.13274595,0.558849096,4.347413024,1
76,186,58,15,14,0.359010987,4.252766336,2
77,179,57,18.02775638,13.60147051,0.656330123,4.260380029,1
78,320,112,31.04834939,16.4924225,0.84725576,6.260990337,1
79,164,53,15,12,0.6,4.13860469,1
81,199,62,17,14,0.567273574,4.395063471,1
82,154,54,16.15549442,12.08304597,0.663786884,4.351444006,1
83,251,77,22.627417,15.55634919,0.726184377,4.860196904,3
84,188,60,16.2788206,13.45362405,0.563010774,4.375949745,3
85,218,67,18.38477631,14.76482306,0.595843592,4.537812592,3
87,322,96,29.15475947,15.03329638,0.856806657,6.018604696,1
88,224,69,18.02775638,16.03121954,0.4574175,4.610256423,2
90,275,88,25.3179778,16.2788206,0.76588737,5.306599665,3
91,201,60,18.78829423,13.41640786,0.700060702,4.232073695,1
92,213,68,16.40121947,15,0.404436365,4.659283227,1
93,223,68,19,15,0.61378441,4.553616805,3
95,210,67,15.55634919,14.14213562,0.41659779,4.623439248,3
96,190,60,15,14,0.359010987,4.352857501,1
97,347,108,31.2409987,15.62049935,0.866025404,5.958792211,1
98,220,67,17.08800749,15.23154621,0.453298414,4.517139079,3
101,205,61,17,14,0.567273574,4.260424804,3
102,210,62,17,14,0.567273574,4.278406468,1
103,220,63,17.4642492,15.5241747,0.458078667,4.247459134,3
104,220,68,17.69180601,14.86606875,0.54215285,4.584559065,1
105,246,71,18.35755975,15.26433752,0.555522584,4.526794663,2
106,205,60,15,15,0,4.190581775,1
107,224,67,19,15,0.61378441,4.476625802,3
108,225,69,18.43908891,14.86606875,0.591607978,4.6,3
109,274,74,21.9544984,14.76482306,0.740079619,4.470503491,3
110,220,63,15.5241747,14.86606875,0.288075601,4.247459134,3
112,214,62,16,15,0.347985273,4.238232748,1
113,242,69,19.79898987,15.55634919,0.618589574,4.435487991,2
114,219,65,17.49285568,14.76482306,0.536266444,4.39229296,1
115,221,64,17,15,0.470588235,4.305105882,1
116,207,62,15,15,0,4.309297891,1
117,222,62,16,15,0.347985273,4.161167542,3
118,218,65,18.38477631,14.14213562,0.638971066,4.4023555,1
119,201,61,16,15,0.347985273,4.302608257,1
120,230,69,18.24828759,16.1245155,0.468208521,4.549725266,2
124,216,60,16,14,0.484122918,4.082482905,1
125,315,86,32.01562119,16.76305461,0.851970456,4.84555106,1
126,233,70,16.97056275,14.86606875,0.482326538,4.585852475,2
127,226,66,17,16,0.33791545,4.390254695,3
128,229,66,17,16,0.33791545,4.361402763,1
130,244,69,18,16,0.458122847,4.417272358,1
131,205,63,18,14,0.628539361,4.400110863,1
132,238,68,19,16,0.539313198,4.40778532,2
133,236,68,18.02775638,15,0.554700196,4.426422973,2
134,408,117,30.47950131,23.43074903,0.639563899,5.792363126,2
135,224,67,15.8113883,15.8113883,0,4.476625802,3
136,321,105,30.8058436,16.64331698,0.841494982,5.860528508,1
137,261,73,18.38477631,16.97056275,0.384615385,4.518586562,2
138,254,72,19.10497317,16.1245155,0.536349916,4.517681797,2
139,230,65,17,15,0.470588235,4.285973077,2
140,218,60,15,15,0,4.063712769,1
141,240,68,19.02629759,15.03329638,0.612936055,4.389381126,1
142,236,64,18,14,0.628539361,4.166045151,3
143,222,63,16.1245155,16.1245155,0,4.228283148,2
144,349,103,32.24903099,17,0.849773726,5.513463594,1
145,244,69,19.31320792,15.8113883,0.574246213,4.417272358,1
148,254,68,18,16,0.458122847,4.266699475,2
149,237,68,18,15,0.552770798,4.417074657,3
150,263,70,17,16,0.33791545,4.316384912,2
151,217,62,16,15,0.347985273,4.208834246,1
152,323,80,24.51530134,15.29705854,0.781440285,4.451319073,3
153,235,66,17.4642492,16.15549442,0.379818766,4.305365282,2
154,271,72,20.39607805,16.2788206,0.602478854,4.373688522,3
155,220,60,15,15,0,4.045199175,1
156,231,67,16.97056275,15.55634919,0.399652627,4.408276356,1
159,233,66,17,16,0.33791545,4.323803762,2
160,256,70,19,17,0.446593757,4.375,1
161,398,118,33,19,0.817620458,6.215558368,1
162,268,75,19.6468827,17.72004515,0.43188945,4.581354163,2
163,267,71,18.68154169,16.4924225,0.469713075,4.345129436,1
164,257,67,19.6468827,16.4924225,0.543448974,4.179345172,2
165,263,70,19.6468827,16.76305461,0.521556062,4.316384912,1
166,259,72,19.79898987,15.55634919,0.618589574,4.473862315,2
